number_of_callers_not_null,is_init,is_static,is_override,uses_variables,call_external_methode,full_name
true,false,false,false,false,false,canScrollVertically#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,scrollHorizontallyBy#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,scrollVerticallyBy#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onItemsAdded#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,computeHorizontalScrollRange#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onAdapterChanged#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,computeVerticalScrollExtent#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onAttachedToWindow#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,isAttachedToWindow#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,requestSimpleAnimationsInNextLayout#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onFocusSearchFailed#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,getBaseline#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,scrollToPosition#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,supportsPredictiveItemAnimations#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onSaveInstanceState#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,setRecyclerView#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onRestoreInstanceState#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,computeVerticalScrollOffset#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,computeVerticalScrollRange#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,getSelectionModeForAccessibility#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onItemsMoved#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onSmoothScrollerStopped#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onItemsUpdated#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,isLayoutHierarchical#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,computeHorizontalScrollOffset#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,canScrollHorizontally#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,checkLayoutParams#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onItemsRemoved#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onDetachedFromWindow#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onAddFocusables#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onInterceptFocusSearch#android.support.v7.widget.RecyclerView$LayoutManager
true,false,false,false,false,false,onDestroyActionMode#org.mariotaku.twidere.fragment.BaseFiltersFragment
