lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
0,1,0,org.codehaus.jackson.map.ClassIntrospector$MixInResolver
0,1,0,org.codehaus.jackson.map.annotate.JsonTypeIdResolver
11,6,2,org.codehaus.jackson.map.jsontype.impl.TypeNameIdResolver
10,5,0,org.codehaus.jackson.map.ser.ArraySerializers$IntArraySerializer
0,7,0,org.codehaus.jackson.map.DeserializerProvider
0,1,0,org.codehaus.jackson.annotate.JsonKeyClass
3,3,0,org.codehaus.jackson.map.deser.FromStringDeserializer$PatternDeserializer
6,4,0,org.codehaus.jackson.map.ext.JodaSerializers$LocalDateSerializer
1,2,1,org.codehaus.jackson.JsonParseException
4,5,1,org.codehaus.jackson.map.jsontype.impl.AsPropertyTypeSerializer
0,1,0,org.codehaus.jackson.map.util.Provider
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$FloatDeserializer
3,3,0,org.codehaus.jackson.map.ext.CoreXMLDeserializers$DurationDeserializer
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$StackTraceElementDeserializer
0,1,0,org.codehaus.jackson.annotate.JsonSetter
6,4,1,org.codehaus.jackson.map.ser.StdKeySerializer
1,2,0,cl.coders.faketraveler.MainActivity$6
1,2,0,cl.coders.faketraveler.MainActivity$5
6,4,1,cl.coders.faketraveler.MainActivity$4
6,4,1,cl.coders.faketraveler.MainActivity$3
0,2,1,cl.coders.faketraveler.MainActivity$2
1,2,1,cl.coders.faketraveler.MainActivity$1
0,2,2,cl.coders.faketraveler.WebAppInterface$1
4,4,1,cl.coders.faketraveler.MoreActivity$1
4,4,1,cl.coders.faketraveler.MoreActivity$2
4,4,1,cl.coders.faketraveler.WebAppInterface
1,2,0,cl.coders.faketraveler.MoreActivity
0,3,2,cl.coders.faketraveler.MockLocationProvider
4,4,4,cl.coders.faketraveler.MainActivity$SourceChange
1,2,1,com.eleybourn.bookcatalogue.goodreads.api.SimpleXmlFilter$StringAttrFilter
1,2,2,com.eleybourn.bookcatalogue.utils.Utils$ConnectionInfo
0,2,2,net.philipwarner.taskqueue.BindableItemListActivity$3
4,4,4,com.eleybourn.bookcatalogue.UpdateFromInternet$FieldUsages$Usages
0,2,1,com.eleybourn.bookcatalogue.booklist.BooklistStylePropertiesActivity$GroupsProperty$1
0,2,1,net.philipwarner.taskqueue.BindableItemListActivity$1
0,2,1,net.philipwarner.taskqueue.BindableItemListActivity$2
4,4,4,com.eleybourn.bookcatalogue.cropper.CropHighlightView$ModifyMode
0,2,1,net.philipwarner.taskqueue.RunnableTask
0,1,0,com.actionbarsherlock.ActionBarSherlock$OnActionModeStartedListener
1,3,1,com.eleybourn.bookcatalogue.StartupActivity$AnalyzeDbTask
1,3,2,com.eleybourn.bookcatalogue.cropper.CropBitmapManager$ThreadStatus
0,2,2,com.actionbarsherlock.internal.widget.ScrollingTabContainerView$1
0,2,3,com.eleybourn.bookcatalogue.messaging.MessageSwitch$MessageRoutingSlip
0,3,2,com.eleybourn.bookcatalogue.goodreads.GoodreadsSearchResults$ResultsAdapter
0,2,1,com.eleybourn.bookcatalogue.MainMenu$11
3,3,0,com.eleybourn.bookcatalogue.datamanager.DateValidator
0,2,1,com.eleybourn.bookcatalogue.MainMenu$12
0,2,1,com.eleybourn.bookcatalogue.MainMenu$13
0,2,1,com.eleybourn.bookcatalogue.MainMenu$14
3,6,2,oauth.signpost.commonshttp.CommonsHttpOAuthProvider
0,2,1,com.eleybourn.bookcatalogue.MainMenu$10
0,1,2,com.eleybourn.bookcatalogue.utils.Terminator$Event
0,2,0,com.eleybourn.bookcatalogue.dialogs.PartialDatePickerFragment$OnPartialDatePickerListener
0,1,0,com.eleybourn.bookcatalogue.utils.SimpleTaskQueueProgressFragment$OnAllTasksFinishedListener
0,2,3,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$1
0,2,3,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$2
1,3,1,com.eleybourn.bookcatalogue.database.DbSync$SynchronizedDb$SynchronizedCursorFactory
1,3,1,com.eleybourn.bookcatalogue.goodreads.api.ListReviewsApiHandler$1
0,2,0,com.eleybourn.bookcatalogue.TaskManager$TaskManagerController
1,3,1,com.eleybourn.bookcatalogue.goodreads.api.ListReviewsApiHandler$2
0,1,0,com.eleybourn.bookcatalogue.dialogs.ImportTypeSelectionDialogFragment$OnImportTypeSelectionDialogResultListener
4,4,1,com.eleybourn.bookcatalogue.database.DbSync$Synchronizer$ExclusiveLock
0,2,0,com.actionbarsherlock.internal.view.View_HasStateListenerSupport
0,2,2,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$3
0,2,2,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$4
0,2,3,com.eleybourn.bookcatalogue.SearchSuggestionProvider
0,2,1,com.eleybourn.bookcatalogue.backup.BackupUtils$1
0,2,3,com.eleybourn.bookcatalogue.backup.BackupUtils$2
